ID,Name,Variable,Method,Class,Package,File,File Name
CS45,UnusedParameters,tactic,applyTacticImpl,AbstractBooleanFormulaManager<TFormulaInfo, TType, TEnv>,org.sosy_lab.solver.basicimpl,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\basicimpl\AbstractBooleanFormulaManager.java,AbstractBooleanFormulaManager.java
CS46,UnusedParameters,levels,push,FormulaCollectionScript,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\FormulaCollectionScript.java,FormulaCollectionScript.java
CS47,UnusedParameters,pBitwidth,getBitvectorType,SmtInterpolFormulaCreator,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\SmtInterpolFormulaCreator.java,SmtInterpolFormulaCreator.java
CS48,UnusedParameters,pElementType,getArrayType,Mathsat5FormulaCreator,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5FormulaCreator.java,Mathsat5FormulaCreator.java
CS49,UnusedParameters,pSigned,extract,Z3BitvectorFormulaManager,org.sosy_lab.solver.z3,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\z3\Z3BitvectorFormulaManager.java,Z3BitvectorFormulaManager.java
CS50,UnusedParameters,pBody,replaceQuantifiedBody,PrincessUnsafeFormulaManager,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessUnsafeFormulaManager.java,PrincessUnsafeFormulaManager.java
CS51,UnusedParameters,pGenerateUnsatCore,newProverEnvironment,SmtInterpolFormulaManager,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\SmtInterpolFormulaManager.java,SmtInterpolFormulaManager.java
CS52,UnusedParameters,startOfSubTree,getTreeInterpolants,PrincessInterpolatingProver,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessInterpolatingProver.java,PrincessInterpolatingProver.java
CS53,UnusedParameters,epsilon,upper,Mathsat5OptProver,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5OptProver.java,Mathsat5OptProver.java
CS54,UnusedParameters,f,evaluate,Mathsat5OptProver,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5OptProver.java,Mathsat5OptProver.java
CS55,UnusedParameters,pGenerateModels,newProverEnvironment,SmtInterpolFormulaManager,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\SmtInterpolFormulaManager.java,SmtInterpolFormulaManager.java
CS56,UnusedParameters,pBody,replaceQuantifiedBody,SmtInterpolUnsafeFormulaManager,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\SmtInterpolUnsafeFormulaManager.java,SmtInterpolUnsafeFormulaManager.java
CS57,UnusedParameters,pT,getQuantifiedBody,Mathsat5UnsafeFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5UnsafeFormulaManager.java,Mathsat5UnsafeFormulaManager.java
CS58,UnusedParameters,signed,subtract,AbstractBitvectorFormulaManager<TFormulaInfo, TType, TEnv>,org.sosy_lab.solver.basicimpl,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\basicimpl\AbstractBitvectorFormulaManager.java,AbstractBitvectorFormulaManager.java
CS59,UnusedParameters,pT,isQuantification,Mathsat5UnsafeFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5UnsafeFormulaManager.java,Mathsat5UnsafeFormulaManager.java
CS60,UnusedParameters,pBody,replaceQuantifiedBody,Mathsat5UnsafeFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5UnsafeFormulaManager.java,Mathsat5UnsafeFormulaManager.java
CS61,UnusedParameters,pShared,newProverEnvironmentWithInterpolation,Z3FormulaManager,org.sosy_lab.solver.z3,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\z3\Z3FormulaManager.java,Z3FormulaManager.java
CS62,UnusedParameters,pT,isQuantification,PrincessUnsafeFormulaManager,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessUnsafeFormulaManager.java,PrincessUnsafeFormulaManager.java
CS63,UnusedParameters,t,isImplication,PrincessUtil,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessUtil.java,PrincessUtil.java
CS64,UnusedParameters,partition,getInterpolants,FormulaCollectionScript,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\FormulaCollectionScript.java,FormulaCollectionScript.java
CS65,UnusedParameters,pIndexType,getArrayType,SmtInterpolFormulaCreator,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\SmtInterpolFormulaCreator.java,SmtInterpolFormulaCreator.java
