Id-Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
115,CS115,UnusedParameters,ColumnLabel,updateCharacterStream,AbstractResultSet,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/AbstractResultSet.java,AbstractResultSet.java,pljava,pljava-master,3/19/2019
116,CS116,UnusedParameters,readlimit,mark,ByteBufferInputStream,org.postgresql.pljava.internal,pljava-master/pljava/src/main/java/org/postgresql/pljava/internal/ByteBufferInputStream.java,ByteBufferInputStream.java,pljava,pljava-master,3/19/2019
117,CS117,UnusedParameters,len,setBytes,BlobValue,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/BlobValue.java,BlobValue.java,pljava,pljava-master,3/19/2019
118,CS118,UnusedParameters,e,setDefaultValue,DDRProcessorImpl,org.postgresql.pljava.sqlgen,pljava-master/pljava-api/src/main/java/org/postgresql/pljava/sqlgen/DDRProcessor.java,DDRProcessor.java,pljava,pljava-master,3/19/2019
119,CS119,UnusedParameters,useAltRepr,_Type_getJNIReturnSignature,,,pljava-master/pljava-so/src/main/c/type/Type.c,Type.c,pljava,pljava-master,3/19/2019
120,CS120,UnusedParameters,x,updateCharacterStream,AbstractResultSet,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/AbstractResultSet.java,AbstractResultSet.java,pljava,pljava-master,3/19/2019
121,CS121,UnusedParameters,reader,updateNCharacterStream,AbstractResultSet,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/AbstractResultSet.java,AbstractResultSet.java,pljava,pljava-master,3/19/2019
122,CS122,UnusedParameters,catalog,getTablePrivileges,SPIDatabaseMetaData,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/SPIDatabaseMetaData.java,SPIDatabaseMetaData.java,pljava,pljava-master,3/19/2019
123,CS123,UnusedParameters,len,truncate,BlobValue,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/BlobValue.java,BlobValue.java,pljava,pljava-master,3/19/2019
124,CS124,UnusedParameters,x,updateRowId,AbstractResultSet,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/AbstractResultSet.java,AbstractResultSet.java,pljava,pljava-master,3/19/2019
125,CS125,UnusedParameters,x,setAsciiStream,SPIPreparedStatement,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/SPIPreparedStatement.java,SPIPreparedStatement.java,pljava,pljava-master,3/19/2019
126,CS126,UnusedParameters,reader,updateClob,AbstractResultSet,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/AbstractResultSet.java,AbstractResultSet.java,pljava,pljava-master,3/19/2019
127,CS127,UnusedParameters,columnIndexes,execute,SPIStatement,org.postgresql.pljava.jdbc,pljava-master/pljava/src/main/java/org/postgresql/pljava/jdbc/SPIStatement.java,SPIStatement.java,pljava,pljava-master,3/19/2019
