language,project,file_name,sha,author,author_date,is_bug,insertion,deletion
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/crypto/KeyGeneratorTest.java,94b7d630b60d0c41fde183a77467a316e4501642,Adam Vartanian,2019-04-10 09:11:24,,11,25
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/net/ssl/KeyManagerFactoryTest.java,94b7d630b60d0c41fde183a77467a316e4501642,Adam Vartanian,2019-04-10 09:11:24,,19,36
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/net/ssl/TrustManagerFactoryTest.java,94b7d630b60d0c41fde183a77467a316e4501642,Adam Vartanian,2019-04-10 09:11:24,,25,43
java,conscrypt,testing/src/main/java/org/conscrypt/java/security/TestKeyStore.java,94b7d630b60d0c41fde183a77467a316e4501642,Adam Vartanian,2019-04-10 09:11:24,,2,7
java,conscrypt,testing/src/main/java/tests/util/ServiceTester.java,94b7d630b60d0c41fde183a77467a316e4501642,Adam Vartanian,2019-04-10 09:11:24,,174,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/ConscryptJava7Suite.java,f2eb605ab045402c275209d389fde5460f1717dd,Adam Vartanian,2019-04-09 08:25:45,,2,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/ConscryptSuite.java,f2eb605ab045402c275209d389fde5460f1717dd,Adam Vartanian,2019-04-09 08:25:45,,2,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/crypto/AeadCipherTest.java,f2eb605ab045402c275209d389fde5460f1717dd,Adam Vartanian,2019-04-09 08:25:45,,326,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/crypto/CipherTest.java,f2eb605ab045402c275209d389fde5460f1717dd,Adam Vartanian,2019-04-09 08:25:45,,0,311
cc,conscrypt,common/src/jni/main/cpp/conscrypt/native_crypto.cc,fb3bce92a4cf11bfea2b1a0c978e9ae602a43038,Adam Vartanian,2019-04-04 12:06:09,,16,0
