system;version;release;FileName;JNINativeFlag;Smelly;excessiveInterlangCommunication;Toomuchclustring;ToomuchScattering;UnusedMethodDeclaration;UnusedMethodImplementation;UnusedParameter;AssumingSafeReturnValue;ExcessiveObjects;NotHandlingExceptions;NotCachingObjects;NotSecuringLibraries;HardCodingLibraries;NotUsingRelativePath;MemoryManagementMismatch;LocalReferencesAbuse;CLOC;PrevFixing;CodeChurn;InducingFlag;Inducing;LOC
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/NativeSslSession.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8259;1;0;1;2;484
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OAEPParameters.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;450;1;272;1;1;272
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OidData.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLAeadCipherChaCha20.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLBIOInputStream.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2592;1;1;1;5;76
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLBIOSink.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2392;1;1;1;2;77
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLBIOSource.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2392;2;1;1;2;106
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLCipher.java;1;1;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;6420;14;948;1;32;1389
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLCipherChaCha20.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214;2;164;1;1;160
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLCipherRSA.java;1;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;611;5;0;1;7;631
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLContextImpl.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3113;6;18;1;6;179
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLECDHKeyAgreement.java;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLECGroupContext.java;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2223;1;1;1;4;180
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLECKeyFactory.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;689;3;0;1;3;203
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLECKeyPairGenerator.java;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;26;1;0;1;1;136
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLECPointContext.java;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1946;1;0;1;3;63
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLECPrivateKey.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4033;3;7;1;8;248
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLECPublicKey.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3085;3;7;1;7;173
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLEvpCipher.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;209
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLEvpCipherAES.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;241
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLEvpCipherARC4.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLRSAKeyPairGenerator.java;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1431;1;0;1;1;81
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLSignature.java;1;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;361;3;0;1;4;495
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLSignatureRawECDSA.java;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/OpenSSLSignatureRawRSA.java;1;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;70;1;0;1;1;199
