Id-Table,ID,Name,Variable,Method,Class,Package,File,File Name,System,Version,Release
66,CS66,UnusedImplementation,,frameHeaderSizeMax,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
67,CS67,UnusedImplementation,,chainLogMax,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
68,CS68,UnusedImplementation,,trainFromBuffer,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
69,CS69,UnusedImplementation,,windowLogMax,Zstd,com.github.luben.zstd,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/Zstd.java,Zstd.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
70,CS70,PassingExcessiveObjects,src,Java_com_github_luben_zstd_Zstd_decompressDirectByteBufferFastDict,,,zstd-jni-1.3.4-1/src/main/native/jni_fast_zstd.c,jni_fast_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
71,CS71,PassingExcessiveObjects,dict,Java_com_github_luben_zstd_Zstd_compressFastDict,,,zstd-jni-1.3.4-1/src/main/native/jni_fast_zstd.c,jni_fast_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
72,CS72,PassingExcessiveObjects,dst,Java_com_github_luben_zstd_Zstd_decompressDirectByteBufferFastDict,,,zstd-jni-1.3.4-1/src/main/native/jni_fast_zstd.c,jni_fast_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
73,CS73,PassingExcessiveObjects,dict,Java_com_github_luben_zstd_Zstd_compressDirectByteBufferFastDict,,,zstd-jni-1.3.4-1/src/main/native/jni_fast_zstd.c,jni_fast_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
74,CS74,PassingExcessiveObjects,src,Java_com_github_luben_zstd_Zstd_compressDirectByteBufferFastDict,,,zstd-jni-1.3.4-1/src/main/native/jni_fast_zstd.c,jni_fast_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
75,CS75,PassingExcessiveObjects,dst,Java_com_github_luben_zstd_Zstd_compressDirectByteBufferFastDict,,,zstd-jni-1.3.4-1/src/main/native/jni_fast_zstd.c,jni_fast_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
76,CS76,PassingExcessiveObjects,dict,Java_com_github_luben_zstd_Zstd_decompressDirectByteBufferFastDict,,,zstd-jni-1.3.4-1/src/main/native/jni_fast_zstd.c,jni_fast_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
77,CS77,PassingExcessiveObjects,dict,Java_com_github_luben_zstd_Zstd_decompressFastDict,,,zstd-jni-1.3.4-1/src/main/native/jni_fast_zstd.c,jni_fast_zstd.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
78,CS78,HardCodingLibraries,libnameShort,load,,com.github.luben.zstd.util,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/util/Native.java,Native.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
79,CS79,HardCodingLibraries,tempLib.getAbsolutePath(),load,,com.github.luben.zstd.util,zstd-jni-1.3.4-1/src/main/java/com/github/luben/zstd/util/Native.java,Native.java,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
80,CS80,UnusedParameters,bucket_B,construct_BWT_indexes,,,zstd-jni-1.3.4-1/src/main/native/dictBuilder/divsufsort.c,divsufsort.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
81,CS81,UnusedParameters,rep[ZSTD_REP_NUM],ZSTD_compressBlock_lazy_generic,,,zstd-jni-1.3.4-1/src/main/native/compress/zstd_lazy.c,zstd_lazy.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
82,CS82,UnusedParameters,fast,ZSTDv06_wildcopy,,,zstd-jni-1.3.4-1/src/main/native/legacy/zstd_v06.c,zstd_v06.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
83,CS83,UnusedParameters,rep[ZSTD_REP_NUM],ZSTD_compressBlock_fast_extDict,,,zstd-jni-1.3.4-1/src/main/native/compress/zstd_fast.c,zstd_fast.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
84,CS84,UnusedParameters,rep[ZSTD_REP_NUM],ZSTD_ldm_blockCompress,,,zstd-jni-1.3.4-1/src/main/native/compress/zstd_ldm.c,zstd_ldm.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
85,CS85,UnusedParameters,fast,FSE_compress_usingCTable_generic,,,zstd-jni-1.3.4-1/src/main/native/compress/fse_compress.c,fse_compress.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
86,CS86,UnusedParameters,bucket_A,construct_BWT_indexes,,,zstd-jni-1.3.4-1/src/main/native/dictBuilder/divsufsort.c,divsufsort.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
87,CS87,UnusedParameters,bucket_A,construct_SA,,,zstd-jni-1.3.4-1/src/main/native/dictBuilder/divsufsort.c,divsufsort.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
88,CS88,UnusedParameters,rep[ZSTD_REP_NUM],ZSTD_compressBlock_doubleFast_extDict,,,zstd-jni-1.3.4-1/src/main/native/compress/zstd_double_fast.c,zstd_double_fast.c,zstd-jni,zstd-jni-1.3.4-1,3/27/2018
